year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,3,1638.0,1645,-7.0,1859.0,1906,-7.0,9E,4027,N8974C,EWR,CVG,113.0,569,16,45,2013-01-03 16:00:00
2013,1,3,1748.0,1725,23.0,1958.0,1933,25.0,EV,4144,N13550,EWR,CVG,110.0,569,17,25,2013-01-03 17:00:00
2013,1,3,1941.0,1946,-5.0,2200.0,2154,6.0,EV,4304,N15910,EWR,CVG,105.0,569,19,46,2013-01-03 19:00:00
2013,1,3,2257.0,2000,177.0,45.0,2224,141.0,9E,3439,N931XJ,JFK,CVG,90.0,589,20,0,2013-01-03 20:00:00
2013,1,4,618.0,607,11.0,825.0,819,6.0,EV,4559,N16918,EWR,CVG,103.0,569,6,7,2013-01-04 06:00:00
2013,1,4,745.0,755,-10.0,1008.0,1012,-4.0,9E,4023,N8525B,EWR,CVG,98.0,569,7,55,2013-01-04 07:00:00
2013,1,4,935.0,908,27.0,1134.0,1120,14.0,EV,4638,N15910,EWR,CVG,97.0,569,9,8,2013-01-04 09:00:00
2013,1,4,1418.0,1415,3.0,1617.0,1622,-5.0,EV,4687,N15910,EWR,CVG,101.0,569,14,15,2013-01-04 14:00:00
2013,1,4,1458.0,1300,118.0,1651.0,1506,105.0,9E,3762,N8710A,EWR,CVG,94.0,569,13,0,2013-01-04 13:00:00
2013,1,4,1530.0,1535,-5.0,1745.0,1743,2.0,EV,4352,N14972,EWR,CVG,101.0,569,15,35,2013-01-04 15:00:00
2013,1,4,1552.0,1600,-8.0,1752.0,1820,-28.0,MQ,3985,N610MQ,JFK,CVG,100.0,589,16,0,2013-01-04 16:00:00
2013,1,4,1640.0,1645,-5.0,1831.0,1906,-35.0,9E,4027,N8828D,EWR,CVG,93.0,569,16,45,2013-01-04 16:00:00
2013,1,4,1723.0,1725,-2.0,1926.0,1933,-7.0,EV,4144,N13965,EWR,CVG,97.0,569,17,25,2013-01-04 17:00:00
2013,1,4,1955.0,2000,-5.0,2205.0,2224,-19.0,9E,3439,N918XJ,JFK,CVG,90.0,589,20,0,2013-01-04 20:00:00
2013,1,4,2208.0,1946,142.0,7.0,2154,133.0,EV,4536,N14953,EWR,CVG,97.0,569,19,46,2013-01-04 19:00:00
2013,1,5,1525.0,1529,-4.0,1737.0,1737,0.0,EV,4369,N16541,EWR,CVG,112.0,569,15,29,2013-01-05 15:00:00
2013,1,5,1553.0,1600,-7.0,1805.0,1820,-15.0,MQ,3985,N606MQ,JFK,CVG,113.0,589,16,0,2013-01-05 16:00:00
2013,1,5,1953.0,2000,-7.0,2158.0,2222,-24.0,9E,3439,N604LR,JFK,CVG,105.0,589,20,0,2013-01-05 20:00:00
2013,1,6,1256.0,1300,-4.0,1508.0,1506,2.0,9E,3762,N8828D,EWR,CVG,112.0,569,13,0,2013-01-06 13:00:00
2013,1,6,1446.0,1410,36.0,1703.0,1617,46.0,EV,4687,N14923,EWR,CVG,113.0,569,14,10,2013-01-06 14:00:00
2013,1,6,1552.0,1600,-8.0,1815.0,1820,-5.0,MQ,3985,N633MQ,JFK,CVG,110.0,589,16,0,2013-01-06 16:00:00
2013,1,6,1646.0,1536,70.0,1859.0,1744,75.0,EV,4352,N11547,EWR,CVG,111.0,569,15,36,2013-01-06 15:00:00
2013,1,6,1804.0,1721,43.0,2034.0,1929,65.0,EV,4301,N11565,EWR,CVG,110.0,569,17,21,2013-01-06 17:00:00
2013,1,6,1950.0,1929,21.0,2208.0,2135,33.0,EV,4536,N14923,EWR,CVG,104.0,569,19,29,2013-01-06 19:00:00
2013,1,6,1957.0,2000,-3.0,2203.0,2224,-21.0,9E,3439,N929XJ,JFK,CVG,105.0,589,20,0,2013-01-06 20:00:00
2013,1,7,619.0,607,12.0,815.0,819,-4.0,EV,4559,N11548,EWR,CVG,93.0,569,6,7,2013-01-07 06:00:00
2013,1,7,905.0,908,-3.0,1105.0,1120,-15.0,EV,4638,N15912,EWR,CVG,96.0,569,9,8,2013-01-07 09:00:00
2013,1,7,918.0,755,83.0,1121.0,1012,69.0,9E,4023,N8837B,EWR,CVG,91.0,569,7,55,2013-01-07 07:00:00
2013,1,7,1251.0,1300,-9.0,1440.0,1506,-26.0,9E,3762,N8944B,EWR,CVG,92.0,569,13,0,2013-01-07 13:00:00
2013,1,7,1438.0,1415,23.0,1630.0,1622,8.0,EV,4687,N22971,EWR,CVG,94.0,569,14,15,2013-01-07 14:00:00
2013,1,7,1543.0,1535,8.0,1737.0,1743,-6.0,EV,4352,N14923,EWR,CVG,95.0,569,15,35,2013-01-07 15:00:00
2013,1,7,1552.0,1600,-8.0,1854.0,1820,34.0,MQ,3985,N615MQ,JFK,CVG,157.0,589,16,0,2013-01-07 16:00:00
2013,1,7,1641.0,1645,-4.0,1840.0,1906,-26.0,9E,4027,N8688C,EWR,CVG,92.0,569,16,45,2013-01-07 16:00:00
2013,1,7,1720.0,1725,-5.0,1912.0,1933,-21.0,EV,4301,N16987,EWR,CVG,95.0,569,17,25,2013-01-07 17:00:00
2013,1,7,1942.0,1946,-4.0,2144.0,2154,-10.0,EV,4536,N14542,EWR,CVG,95.0,569,19,46,2013-01-07 19:00:00
2013,1,7,1958.0,2000,-2.0,2205.0,2224,-19.0,9E,3439,N923XJ,JFK,CVG,98.0,589,20,0,2013-01-07 20:00:00
2013,1,8,628.0,630,-2.0,840.0,842,-2.0,EV,4150,N12996,EWR,CVG,98.0,569,6,30,2013-01-08 06:00:00
2013,1,8,752.0,755,-3.0,1029.0,1012,17.0,9E,4023,N8598B,EWR,CVG,121.0,569,7,55,2013-01-08 07:00:00
2013,1,8,906.0,908,-2.0,1315.0,1120,,EV,4638,N16919,EWR,CVG,,569,9,8,2013-01-08 09:00:00
2013,1,8,1258.0,1300,-2.0,1513.0,1506,7.0,9E,3762,N8837B,EWR,CVG,104.0,569,13,0,2013-01-08 13:00:00
2013,1,8,1412.0,1415,-3.0,1608.0,1622,-14.0,EV,4687,N16918,EWR,CVG,99.0,569,14,15,2013-01-08 14:00:00
2013,1,8,1533.0,1535,-2.0,1739.0,1743,-4.0,EV,4352,N15555,EWR,CVG,103.0,569,15,35,2013-01-08 15:00:00
2013,1,8,1600.0,1600,0.0,1807.0,1820,-13.0,MQ,3985,N923MQ,JFK,CVG,108.0,589,16,0,2013-01-08 16:00:00
2013,1,8,1635.0,1645,-10.0,1842.0,1906,-24.0,9E,4027,N8944B,EWR,CVG,101.0,569,16,45,2013-01-08 16:00:00
2013,1,8,1718.0,1725,-7.0,1919.0,1933,-14.0,EV,4301,N15986,EWR,CVG,103.0,569,17,25,2013-01-08 17:00:00
2013,1,8,1954.0,2000,-6.0,2200.0,2208,-8.0,EV,4536,N12967,EWR,CVG,101.0,569,20,0,2013-01-08 20:00:00
2013,1,8,1954.0,2000,-6.0,2148.0,2224,-36.0,9E,3439,N934XJ,JFK,CVG,98.0,589,20,0,2013-01-08 20:00:00
2013,1,9,601.0,607,-6.0,812.0,819,-7.0,EV,4150,N13914,EWR,CVG,105.0,569,6,7,2013-01-09 06:00:00
2013,1,9,903.0,908,-5.0,1126.0,1120,6.0,EV,4638,N15555,EWR,CVG,106.0,569,9,8,2013-01-09 09:00:00
2013,1,9,1255.0,1300,-5.0,1456.0,1506,-10.0,9E,3762,N8914A,EWR,CVG,105.0,569,13,0,2013-01-09 13:00:00
2013,1,9,1427.0,1430,-3.0,1634.0,1637,-3.0,EV,4687,N15574,EWR,CVG,110.0,569,14,30,2013-01-09 14:00:00
2013,1,9,1529.0,1535,-6.0,1740.0,1743,-3.0,EV,4352,N16546,EWR,CVG,112.0,569,15,35,2013-01-09 15:00:00
2013,1,9,1559.0,1600,-1.0,1822.0,1820,2.0,MQ,3985,N900MQ,JFK,CVG,110.0,589,16,0,2013-01-09 16:00:00
2013,1,9,1658.0,1645,13.0,1911.0,1906,5.0,9E,4027,N8604C,EWR,CVG,110.0,569,16,45,2013-01-09 16:00:00
2013,1,9,1716.0,1725,-9.0,1924.0,1933,-9.0,EV,4323,N15983,EWR,CVG,108.0,569,17,25,2013-01-09 17:00:00
2013,1,9,1943.0,1946,-3.0,2159.0,2154,5.0,EV,4536,N14998,EWR,CVG,106.0,569,19,46,2013-01-09 19:00:00
2013,1,9,2027.0,2000,27.0,2228.0,2224,4.0,9E,3439,N930XJ,JFK,CVG,98.0,589,20,0,2013-01-09 20:00:00
2013,1,9,,755,,,1012,,9E,4023,,EWR,CVG,,569,7,55,2013-01-09 07:00:00
2013,1,10,608.0,607,1.0,811.0,819,-8.0,EV,4559,N16571,EWR,CVG,99.0,569,6,7,2013-01-10 06:00:00
2013,1,10,748.0,755,-7.0,945.0,1012,-27.0,9E,4023,N8855A,EWR,CVG,96.0,569,7,55,2013-01-10 07:00:00
2013,1,10,904.0,908,-4.0,1115.0,1120,-5.0,EV,4638,N36915,EWR,CVG,94.0,569,9,8,2013-01-10 09:00:00
2013,1,10,1300.0,1300,0.0,1453.0,1506,-13.0,9E,3762,N8965E,EWR,CVG,95.0,569,13,0,2013-01-10 13:00:00
2013,1,10,1415.0,1415,0.0,1618.0,1622,-4.0,EV,4687,N15980,EWR,CVG,96.0,569,14,15,2013-01-10 14:00:00
2013,1,10,1523.0,1535,-12.0,1757.0,1743,14.0,EV,4352,N17169,EWR,CVG,94.0,569,15,35,2013-01-10 15:00:00
2013,1,10,1626.0,1600,26.0,1825.0,1820,5.0,MQ,3985,N620MQ,JFK,CVG,97.0,589,16,0,2013-01-10 16:00:00
2013,1,10,1637.0,1645,-8.0,1849.0,1906,-17.0,9E,4027,N825AY,EWR,CVG,102.0,569,16,45,2013-01-10 16:00:00
2013,1,10,1721.0,1725,-4.0,1925.0,1933,-8.0,EV,4323,N14568,EWR,CVG,102.0,569,17,25,2013-01-10 17:00:00
2013,1,10,1954.0,2000,-6.0,2146.0,2208,-22.0,EV,4536,N13913,EWR,CVG,90.0,569,20,0,2013-01-10 20:00:00
2013,1,10,1956.0,2000,-4.0,2144.0,2224,-40.0,9E,3439,N918XJ,JFK,CVG,85.0,589,20,0,2013-01-10 20:00:00
2013,1,11,605.0,607,-2.0,810.0,819,-9.0,EV,4559,N14904,EWR,CVG,102.0,569,6,7,2013-01-11 06:00:00
2013,1,11,745.0,755,-10.0,959.0,1012,-13.0,9E,4023,N8855A,EWR,CVG,101.0,569,7,55,2013-01-11 07:00:00
2013,1,11,859.0,908,-9.0,1112.0,1120,-8.0,EV,4638,N36915,EWR,CVG,102.0,569,9,8,2013-01-11 09:00:00
2013,1,11,1254.0,1300,-6.0,1454.0,1506,-12.0,9E,3762,N8416B,EWR,CVG,98.0,569,13,0,2013-01-11 13:00:00
2013,1,11,1428.0,1415,13.0,1630.0,1622,8.0,EV,4687,N36915,EWR,CVG,103.0,569,14,15,2013-01-11 14:00:00
2013,1,11,1530.0,1535,-5.0,1732.0,1743,-11.0,EV,4352,N18557,EWR,CVG,99.0,569,15,35,2013-01-11 15:00:00
2013,1,11,1552.0,1600,-8.0,1802.0,1820,-18.0,MQ,3985,N638MQ,JFK,CVG,101.0,589,16,0,2013-01-11 16:00:00
2013,1,11,1641.0,1645,-4.0,1849.0,1906,-17.0,9E,4027,N8709A,EWR,CVG,98.0,569,16,45,2013-01-11 16:00:00
2013,1,11,1722.0,1725,-3.0,1918.0,1933,-15.0,EV,4323,N11107,EWR,CVG,97.0,569,17,25,2013-01-11 17:00:00
2013,1,11,2009.0,2000,9.0,2206.0,2224,-18.0,9E,3439,N924XJ,JFK,CVG,93.0,589,20,0,2013-01-11 20:00:00
2013,1,11,2022.0,1946,36.0,2235.0,2154,41.0,EV,4536,N16963,EWR,CVG,105.0,569,19,46,2013-01-11 19:00:00
2013,1,12,1537.0,1529,8.0,1732.0,1737,-5.0,EV,4369,N13992,EWR,CVG,96.0,569,15,29,2013-01-12 15:00:00
2013,1,12,1959.0,2000,-1.0,2156.0,2222,-26.0,9E,3439,N934XJ,JFK,CVG,95.0,589,20,0,2013-01-12 20:00:00
2013,1,12,,1600,,,1820,,MQ,3985,N633MQ,JFK,CVG,,589,16,0,2013-01-12 16:00:00
2013,1,13,1249.0,1300,-11.0,1459.0,1506,-7.0,9E,3762,N812AY,EWR,CVG,102.0,569,13,0,2013-01-13 13:00:00
2013,1,13,1503.0,1410,53.0,1706.0,1617,49.0,EV,4687,N11544,EWR,CVG,105.0,569,14,10,2013-01-13 14:00:00
2013,1,13,1551.0,1536,15.0,1804.0,1744,20.0,EV,4352,N10156,EWR,CVG,101.0,569,15,36,2013-01-13 15:00:00
2013,1,13,1554.0,1600,-6.0,1818.0,1820,-2.0,MQ,3985,N923MQ,JFK,CVG,101.0,589,16,0,2013-01-13 16:00:00
2013,1,13,1919.0,1721,118.0,2126.0,1929,117.0,EV,4323,N17560,EWR,CVG,105.0,569,17,21,2013-01-13 17:00:00
2013,1,13,2039.0,1946,53.0,2302.0,2152,70.0,EV,4536,N12540,EWR,CVG,95.0,569,19,46,2013-01-13 19:00:00
2013,1,13,2124.0,2000,84.0,2336.0,2224,72.0,9E,3439,N929XJ,JFK,CVG,100.0,589,20,0,2013-01-13 20:00:00
2013,1,14,626.0,607,19.0,828.0,819,9.0,EV,4559,N15983,EWR,CVG,104.0,569,6,7,2013-01-14 06:00:00
2013,1,14,752.0,755,-3.0,1020.0,1012,8.0,9E,4023,N8444F,EWR,CVG,103.0,569,7,55,2013-01-14 07:00:00
2013,1,14,902.0,908,-6.0,1143.0,1120,23.0,EV,4638,N36915,EWR,CVG,112.0,569,9,8,2013-01-14 09:00:00
2013,1,14,1249.0,1300,-11.0,1503.0,1506,-3.0,9E,3762,N8696C,EWR,CVG,107.0,569,13,0,2013-01-14 13:00:00
2013,1,14,1411.0,1415,-4.0,1614.0,1622,-8.0,EV,4687,N36915,EWR,CVG,109.0,569,14,15,2013-01-14 14:00:00
2013,1,14,1533.0,1535,-2.0,1749.0,1743,6.0,EV,4352,N13949,EWR,CVG,110.0,569,15,35,2013-01-14 15:00:00
2013,1,14,1558.0,1600,-2.0,1807.0,1820,-13.0,MQ,3985,N631MQ,JFK,CVG,107.0,589,16,0,2013-01-14 16:00:00
2013,1,14,1629.0,1645,-16.0,1908.0,1906,2.0,9E,4027,N841AY,EWR,CVG,124.0,569,16,45,2013-01-14 16:00:00
2013,1,14,1713.0,1725,-12.0,1933.0,1933,0.0,EV,4323,N12540,EWR,CVG,104.0,569,17,25,2013-01-14 17:00:00
2013,1,14,1936.0,1946,-10.0,2142.0,2154,-12.0,EV,4536,N36915,EWR,CVG,106.0,569,19,46,2013-01-14 19:00:00
2013,1,14,2007.0,2000,7.0,2224.0,2224,0.0,9E,3439,N930XJ,JFK,CVG,103.0,589,20,0,2013-01-14 20:00:00
2013,1,15,624.0,630,-6.0,847.0,842,5.0,EV,4150,N29917,EWR,CVG,112.0,569,6,30,2013-01-15 06:00:00
2013,1,15,758.0,755,3.0,1015.0,1012,3.0,9E,4023,N8907A,EWR,CVG,108.0,569,7,55,2013-01-15 07:00:00
2013,1,15,858.0,908,-10.0,1117.0,1120,-3.0,EV,4638,N13949,EWR,CVG,110.0,569,9,8,2013-01-15 09:00:00
2013,1,15,1245.0,1300,-15.0,1459.0,1506,-7.0,9E,3762,N8965E,EWR,CVG,106.0,569,13,0,2013-01-15 13:00:00
2013,1,15,1409.0,1415,-6.0,1615.0,1622,-7.0,EV,4687,N13949,EWR,CVG,107.0,569,14,15,2013-01-15 14:00:00
2013,1,15,1531.0,1535,-4.0,1750.0,1743,7.0,EV,4352,N11193,EWR,CVG,107.0,569,15,35,2013-01-15 15:00:00
2013,1,15,1555.0,1600,-5.0,1805.0,1820,-15.0,MQ,3985,N923MQ,JFK,CVG,110.0,589,16,0,2013-01-15 16:00:00
2013,1,15,1633.0,1645,-12.0,1841.0,1906,-25.0,9E,4027,N826AY,EWR,CVG,102.0,569,16,45,2013-01-15 16:00:00
2013,1,15,1719.0,1725,-6.0,1928.0,1933,-5.0,EV,4323,N14972,EWR,CVG,109.0,569,17,25,2013-01-15 17:00:00
2013,1,15,1958.0,2000,-2.0,2214.0,2208,6.0,EV,4536,N16911,EWR,CVG,111.0,569,20,0,2013-01-15 20:00:00
2013,1,15,2003.0,2000,3.0,2211.0,2224,-13.0,9E,3439,N906XJ,JFK,CVG,108.0,589,20,0,2013-01-15 20:00:00
2013,1,16,3.0,1946,257.0,212.0,2154,258.0,EV,4536,N16987,EWR,CVG,111.0,569,19,46,2013-01-16 19:00:00
2013,1,16,631.0,607,24.0,926.0,819,67.0,EV,4150,N14953,EWR,CVG,118.0,569,6,7,2013-01-16 06:00:00
2013,1,16,750.0,755,-5.0,1042.0,1012,30.0,9E,4023,N8533D,EWR,CVG,114.0,569,7,55,2013-01-16 07:00:00
2013,1,16,859.0,908,-9.0,1124.0,1120,4.0,EV,4638,N19554,EWR,CVG,118.0,569,9,8,2013-01-16 09:00:00
2013,1,16,1255.0,1300,-5.0,1512.0,1506,6.0,9E,3762,N8554A,EWR,CVG,118.0,569,13,0,2013-01-16 13:00:00
2013,1,16,1515.0,1430,45.0,1729.0,1637,52.0,EV,4687,N11565,EWR,CVG,116.0,569,14,30,2013-01-16 14:00:00
2013,1,16,1644.0,1600,44.0,1902.0,1820,42.0,MQ,3985,N656MQ,JFK,CVG,119.0,589,16,0,2013-01-16 16:00:00
2013,1,16,2019.0,1725,174.0,2230.0,1933,177.0,EV,4323,N14570,EWR,CVG,116.0,569,17,25,2013-01-16 17:00:00
2013,1,16,,1535,,,1743,,EV,4352,N14959,EWR,CVG,,569,15,35,2013-01-16 15:00:00
2013,1,16,,2000,,,2224,,9E,3439,,JFK,CVG,,589,20,0,2013-01-16 20:00:00
2013,1,16,,1645,,,1906,,9E,4027,,EWR,CVG,,569,16,45,2013-01-16 16:00:00
2013,1,17,606.0,607,-1.0,819.0,819,0.0,EV,4559,N14959,EWR,CVG,111.0,569,6,7,2013-01-17 06:00:00
2013,1,17,746.0,755,-9.0,1002.0,1012,-10.0,9E,4023,N8423C,EWR,CVG,108.0,569,7,55,2013-01-17 07:00:00
2013,1,17,856.0,908,-12.0,1123.0,1120,3.0,EV,4638,N16999,EWR,CVG,109.0,569,9,8,2013-01-17 09:00:00
2013,1,17,1255.0,1300,-5.0,1515.0,1506,9.0,9E,3762,N8976E,EWR,CVG,108.0,569,13,0,2013-01-17 13:00:00
2013,1,17,1408.0,1415,-7.0,1645.0,1622,23.0,EV,4687,N17560,EWR,CVG,128.0,569,14,15,2013-01-17 14:00:00
2013,1,17,1558.0,1600,-2.0,1802.0,1820,-18.0,MQ,3985,N922MQ,JFK,CVG,105.0,589,16,0,2013-01-17 16:00:00
2013,1,17,1600.0,1535,25.0,1810.0,1743,27.0,EV,4352,N16976,EWR,CVG,108.0,569,15,35,2013-01-17 15:00:00
2013,1,17,1826.0,1725,61.0,2041.0,1933,68.0,EV,4323,N14953,EWR,CVG,109.0,569,17,25,2013-01-17 17:00:00
2013,1,17,1919.0,1645,154.0,2125.0,1906,139.0,9E,4027,N8794B,EWR,CVG,99.0,569,16,45,2013-01-17 16:00:00
2013,1,17,1957.0,2000,-3.0,2203.0,2224,-21.0,9E,3439,N922XJ,JFK,CVG,103.0,589,20,0,2013-01-17 20:00:00
2013,1,17,1958.0,2000,-2.0,2212.0,2208,4.0,EV,4536,N22909,EWR,CVG,107.0,569,20,0,2013-01-17 20:00:00
2013,1,18,606.0,607,-1.0,824.0,819,5.0,EV,4559,N12564,EWR,CVG,107.0,569,6,7,2013-01-18 06:00:00
2013,1,18,830.0,755,35.0,1043.0,1012,31.0,9E,4023,N8423C,EWR,CVG,104.0,569,7,55,2013-01-18 07:00:00
2013,1,18,1255.0,1300,-5.0,1454.0,1506,-12.0,9E,3762,N840AY,EWR,CVG,103.0,569,13,0,2013-01-18 13:00:00
2013,1,18,1534.0,1535,-1.0,1740.0,1743,-3.0,EV,4352,N14542,EWR,CVG,105.0,569,15,35,2013-01-18 15:00:00
2013,1,18,1554.0,1600,-6.0,1808.0,1820,-12.0,MQ,3985,N609MQ,JFK,CVG,99.0,589,16,0,2013-01-18 16:00:00
2013,1,18,1602.0,1415,107.0,1813.0,1622,111.0,EV,4687,N17169,EWR,CVG,102.0,569,14,15,2013-01-18 14:00:00
2013,1,18,1638.0,1645,-7.0,1848.0,1906,-18.0,9E,4027,N8982A,EWR,CVG,102.0,569,16,45,2013-01-18 16:00:00
2013,1,18,1739.0,1725,14.0,1943.0,1933,10.0,EV,4323,N13955,EWR,CVG,101.0,569,17,25,2013-01-18 17:00:00
2013,1,18,1955.0,2000,-5.0,2154.0,2224,-30.0,9E,3439,N925XJ,JFK,CVG,97.0,589,20,0,2013-01-18 20:00:00
2013,1,18,2056.0,1946,70.0,2252.0,2154,58.0,EV,4536,N17169,EWR,CVG,92.0,569,19,46,2013-01-18 19:00:00
2013,1,18,,908,,,1120,,EV,4638,N12957,EWR,CVG,,569,9,8,2013-01-18 09:00:00
2013,1,19,1542.0,1529,13.0,1741.0,1737,4.0,EV,4369,N18556,EWR,CVG,102.0,569,15,29,2013-01-19 15:00:00
2013,1,19,1552.0,1600,-8.0,1750.0,1820,-30.0,MQ,3985,N667MQ,JFK,CVG,98.0,589,16,0,2013-01-19 16:00:00
2013,1,19,2001.0,2000,1.0,2202.0,2222,-20.0,9E,3439,N908XJ,JFK,CVG,103.0,589,20,0,2013-01-19 20:00:00
2013,1,20,1401.0,1410,-9.0,1609.0,1617,-8.0,EV,4687,N11535,EWR,CVG,108.0,569,14,10,2013-01-20 14:00:00
2013,1,20,1544.0,1536,8.0,1805.0,1744,21.0,EV,4352,N12552,EWR,CVG,112.0,569,15,36,2013-01-20 15:00:00
2013,1,20,1613.0,1600,13.0,1831.0,1820,11.0,MQ,3985,N932MQ,JFK,CVG,109.0,589,16,0,2013-01-20 16:00:00
2013,1,20,1811.0,1721,50.0,2021.0,1929,52.0,EV,4323,N16918,EWR,CVG,106.0,569,17,21,2013-01-20 17:00:00
2013,1,20,1957.0,2000,-3.0,2229.0,2224,5.0,9E,3439,N925XJ,JFK,CVG,106.0,589,20,0,2013-01-20 20:00:00
2013,1,20,2021.0,1946,35.0,2248.0,2152,56.0,EV,4536,N11535,EWR,CVG,109.0,569,19,46,2013-01-20 19:00:00
2013,1,21,603.0,607,-4.0,825.0,819,6.0,EV,4559,N17984,EWR,CVG,114.0,569,6,7,2013-01-21 06:00:00
2013,1,21,745.0,755,-10.0,959.0,1012,-13.0,9E,4023,N8525B,EWR,CVG,110.0,569,7,55,2013-01-21 07:00:00
2013,1,21,906.0,908,-2.0,1132.0,1120,12.0,EV,4638,N11535,EWR,CVG,120.0,569,9,8,2013-01-21 09:00:00
2013,1,21,1346.0,1300,46.0,1603.0,1506,57.0,9E,3762,N825AY,EWR,CVG,114.0,569,13,0,2013-01-21 13:00:00
2013,1,21,1552.0,1600,-8.0,1827.0,1820,7.0,MQ,3985,N673MQ,JFK,CVG,125.0,589,16,0,2013-01-21 16:00:00
2013,1,21,1602.0,1415,107.0,1820.0,1622,118.0,EV,4687,N14993,EWR,CVG,118.0,569,14,15,2013-01-21 14:00:00
2013,1,21,1642.0,1645,-3.0,1907.0,1906,1.0,9E,4027,N8930E,EWR,CVG,117.0,569,16,45,2013-01-21 16:00:00
2013,1,21,1800.0,1725,35.0,2018.0,1933,45.0,EV,4323,N26549,EWR,CVG,113.0,569,17,25,2013-01-21 17:00:00
2013,1,21,2014.0,2000,14.0,2311.0,2224,47.0,9E,3439,N903XJ,JFK,CVG,116.0,589,20,0,2013-01-21 20:00:00
2013,1,21,2050.0,1946,64.0,2310.0,2154,76.0,EV,4536,N13994,EWR,CVG,112.0,569,19,46,2013-01-21 19:00:00
2013,1,21,,1535,,,1743,,EV,4352,N11565,EWR,CVG,,569,15,35,2013-01-21 15:00:00
